Track name	Track link	User name	User link	Play count	Duration
U Luv Me Like [NOW ON SPOTIFY]	https://soundcloud.com/hxlykxss/u-luv-me-like?in=eliana-cogine/sets/musicas-relaxantes	HXLY KXSS	https://soundcloud.com/hxlykxss	1.42M	3:38
The Paper Kites - Bloom (Colin Parker Remix) [Free Download]	https://soundcloud.com/colinparkermusic/the-paper-kites-bloom-colin-parker-remix?in=eliana-cogine/sets/musicas-relaxantes	Colin Parker	https://soundcloud.com/colinparkermusic	1.55M	3:21
Little Dragon - Twice (Tora Cover)	https://soundcloud.com/toramusic/twice?in=eliana-cogine/sets/musicas-relaxantes	Tora	https://soundcloud.com/toramusic	1.99M	3:03
Ed Sheeran - Thinking Out Loud (Xander Remix)	https://soundcloud.com/mrsuicidesheep/ed-sheeran-thinking-out-loud-xander-remix?in=eliana-cogine/sets/musicas-relaxantes	MrSuicideSheep	https://soundcloud.com/mrsuicidesheep	2.96M	4:47
Patawawa & Roman Kouder - Back to Life	https://soundcloud.com/roman-kouder/patawawa-roman-kouder-back-to-life?in=eliana-cogine/sets/musicas-relaxantes	Roman Kouder	https://soundcloud.com/roman-kouder	1.22M	3:40
Jagged Edge - Where The Party At?(Viceroy "Jet Life" Remix)	https://soundcloud.com/viceroymusic/jagged-edge-where-the-party-at-viceroy-jet-life-remix-1?in=eliana-cogine/sets/musicas-relaxantes	VICEROY	https://soundcloud.com/viceroymusic	1.88M	4:40
Just Kiddin - Thinking About It (Ghassemi Remix)	https://soundcloud.com/ghassemiofficial/just-kiddin-thinking-about-it-ghassemi-remix?in=eliana-cogine/sets/musicas-relaxantes	Ghassemi (Official)	https://soundcloud.com/ghassemiofficial	1.1M	3:29
Panda Eyes - KIKO	https://soundcloud.com/officialpandaeyes/panda-eyes-kiko?in=eliana-cogine/sets/musicas-relaxantes	Panda Eyes	https://soundcloud.com/officialpandaeyes	4.25M	5:13
Venemy - Rescue Me (feat. Car) [NCS Release]	https://soundcloud.com/nocopyrightsounds/venemy-rescue-me-feat-car-ncs-release?in=eliana-cogine/sets/musicas-relaxantes	NCS	https://soundcloud.com/nocopyrightsounds	1.21M	4:52
Fox Stevenson - Endless	https://soundcloud.com/foxstevenson/fox-stevenson-endless?in=eliana-cogine/sets/musicas-relaxantes	Fox Stevenson	https://soundcloud.com/foxstevenson	2.17M	4:40
