"playlist_name	playlist_owner_name	playlist_owner_url	number_track	playlist_posted_time	playlist_likes",,,,
"Best Of 2017	Case Of The Mondays	https://soundcloud.com/tannerstunes	49	2017-12-31	84.1K",,,,
"Best Of Chill City	ilyana azman	https://soundcloud.com/ilyanaazman	37	2017-06-09	20.4K",,,,
"HotSummerNights	ilovehanriver	https://soundcloud.com/hanriverlove	23	2020-07-30	1",66,,,
"Best Chill Trap	Westcoast Radio (EDM)	https://soundcloud.com/digitalstreams	32	2017-08-25	91.3K",,,,
"Best Of House Nation	ilyana azman	https://soundcloud.com/ilyanaazman	38	2017-08-17	9",860,,,
"chill your mind	User 101682266	https://soundcloud.com/tb3dvuqu1ugs	15	2019-07-26	4",322,,,
"SUMMER 19	lilly manning	https://soundcloud.com/user-610681392	35	2019-07-03	3",598,,,
"New year bitches	Sugandh Arora	https://soundcloud.com/sugandh-arora-446014047	16	2016-12-31	8",889,,,
"#1 TRAP Workout	Westcoast Radio (EDM)	https://soundcloud.com/digitalstreams	40	2015-11-18	8",286,,,
"Party Playlist👑	Ben Bartlett	https://soundcloud.com/ben-bartlett-275264047	50	2016-10-16	7",44,,,
"YNM#28	ARA	https://soundcloud.com/teamdr	16	2019-05-10	2",716,,,
"BangerZ Weekly 07	BangerZ	https://soundcloud.com/bangerzinc	40	2017-05-12	8",620,,,
"At The Moment 13	Modern Manners	https://soundcloud.com/modern_manners	15	2018-12-07	1",795,,,
"My Party Be Like..	J e z i k a ♡	https://soundcloud.com/its-jezika-bruh	39	2014-09-12	4",132,,,
"Best Of TheFatRat	ilyana azman	https://soundcloud.com/ilyanaazman	42	2017-11-08	4",81,,,
"Too Future. Thursdays Vol. 190	Too Future.	https://soundcloud.com/toofutureshop	24	2018-01-18	2",297,,,
"Greek Week	Matt_Wilkinson	https://soundcloud.com/matt-wilkinson-4	36	2017-03-28	12K",,,,
